Title,Url,Protein,Rating (1-5),Notes
Greek Chicken Gyros,https://damndelicious.net/2020/02/23/greek-chicken-gyros/,chicken,0,
Thai Chicken Buddha Bowls,https://damndelicious.net/2018/01/04/thai-chicken-buddha-bowls/,chicken,0,
Green Chicken Enchiladas,https://damndelicious.net/2019/03/01/green-chicken-enchiladas/,chicken,0,
Skillet Chicken Fajitas with Creamy Jalapeño Verde Sauce,https://www.halfbakedharvest.com/skillet-chicken-fajitas/,chicken,0,
Lemon Pepper Cajun Chicken Fettuccine Alfredo,https://www.halfbakedharvest.com/cajun-chicken-fettuccine-alfredo/,chicken,0,
Crispy Chicken Tikka Bowls with Mint Sauce,https://pinchofyum.com/crispy-chicken-tikka-bowls-with-mint-sauce,chicken,0,
Greek Chicken Chopped Salad with Lemon Tahini Vinaigrette,https://www.halfbakedharvest.com/greek-chicken-chopped-salad/,chicken,0,
Chicken Enchilada Casserole with Rice,https://www.chewoutloud.com/one-pot-enchilada-rice-casserole/,chicken,0,
Thai Yellow Chicken Curry with Potatoes,https://pinchofyum.com/thai-yellow-chicken-curry-with-potatoes,chicken,0,
Sheet Pan Honey-Chipotle Chicken and Sweet Potatoes,https://www.thekitchn.com/recipe-spicy-chipotle-chicken-and-sweet-potatoes-240426,chicken,0,
Chicken Enchiladas,https://www.gimmesomeoven.com/best-chicken-enchiladas-ever/,chicken,0,
Creamy Chicken Quinoa and Broccoli Casserole,https://pinchofyum.com/Creamy-Chicken-Quinoa-Broccoli-Casserole,chicken,0,
Creamy Crockpot White Chicken Chili,https://www.thechunkychef.com/slow-cooker-creamy-white-chicken-chili/,chicken,0,
Grilled Hawaiian Chicken Kabobs,https://wholefully.com/grilled-hawaiian-chicken-kabobs/,chicken,0,
Sheet Pan Garlic Herb Butter Chicken & Potatoes,https://cafedelites.com/sheet-pan-garlic-herb-butter-chicken/,chicken,0,
Quick & Easy Creamy Herb Chicken,https://cafedelites.com/quick-easy-creamy-herb-chicken/,chicken,0,
Slow Cooker Chicken and Corn Chowder,https://damndelicious.net/2015/10/15/slow-cooker-chicken-and-corn-chowder/,chicken,0,
Crockpot Quinoa Chicken Primavera,https://pinchofyum.com/crockpot-quinoa-chicken-primavera,chicken,0,
Queso Chicken Chili with Roasted Corn and Jalapeño,https://pinchofyum.com/queso-chicken-chili,chicken,0,
Tex Mex Chicken and Zucchini,https://ifoodreal.com/chicken-and-zucchini/,chicken,0,
30-Minute Indian Butter Chicken Recipe,https://twosleevers.com/instant-pot-butter-chicken/,chicken,0,
MIYM Chicken (Melt In Your Mouth Chicken),https://cookiesandcups.com/miym-melt-in-your-mouth-chicken-breasts/,chicken,0,
Mexican Chicken Chowder,https://www.tablespoon.com/recipes/mexican-chicken-chowder/45721e25-53e9-42f0-8452-e0d9db3543ae,chicken,0,
5-Ingredient Chicken Alfredo Bubble-Up Bake,https://www.tablespoon.com/recipes/5-ingredient-chicken-alfredo-bubble-up-bake/67203def-edb4-4436-830d-9ae5e8d218ea,chicken,0,
Weeknight Chicken Mozzarella Sandwiches,https://www.tasteofhome.com/recipes/weeknight-chicken-mozzarella-sandwiches/,chicken,0,
Spicy Chicken Enchiladas,https://www.tasteofhome.com/recipes/spicy-chicken-enchiladas/,chicken,0,
Roasted Jerk Chicken,https://www.goodhousekeeping.com/food-recipes/a37305/roasted-jerk-chicken-recipe/,chicken,0,
Thai Peanut Chicken, Edamame & Quinoa Stir-Fry,https://www.ambitiouskitchen.com/thai-peanut-chicken-edamame-quinoa-stir-fry/,chicken,0,
Cheesy Spinach Dip Chicken Pasta,https://www.crunchycreamysweet.com/cheesy-spinach-dip-chicken-pasta/,chicken,0,
Instant Pot Pasta Cajun Chicken Alfredo,https://www.number-2-pencil.com/instant-pot-pasta-cajun-chicken-alfredo/,chicken,0,
Instant Pot Cashew Chicken,https://fitfoodiefinds.com/instant-pot-cashew-chicken/,chicken,0,
Pressure Cooker Crispy Chicken Carnitas,https://littlespicejar.com/crispy-chicken-carnitas/,chicken,0,
Instant Pot Chicken and Broccoli Stir Fry,https://lifemadesweeter.com/instant-pot-chicken-and-broccoli-stir-fry/,chicken,0,
Creamy Tuscan Chicken,https://www.delish.com/cooking/recipe-ideas/a19636089/creamy-tuscan-chicken-recipe/,chicken,0,
Sheet-Pan Chicken Parmesan,https://www.tasteofhome.com/recipes/sheet-pan-chicken-parmesan/,chicken,0,
Instant Pot Chicken Pasta with Parmesan,https://ifoodreal.com/instant-pot-parmesan-chicken-pasta/,chicken,0,
Chicken with Rosemary Butter Sauce,https://www.tasteofhome.com/recipes/chicken-with-rosemary-butter-sauce/,chicken,0,
Grecian Pasta & Chicken Skillet,Chicken with Rosemary Butter Sauce,chicken,0,
Chicken Biscuit Skillet,https://www.tasteofhome.com/recipes/chicken-biscuit-skillet/,chicken,0,
White Wine Garlic Chicken,https://www.tasteofhome.com/recipes/white-wine-garlic-chicken/,chicken,0,
Chicken Gyros,https://tasty.co/recipe/chicken-gyros,chicken,0,
Pan-Fried Chicken With Lemony Roasted Broccoli,https://www.goodhousekeeping.com/food-recipes/healthy/a28650977/pan-fried-chicken-roasted-broccoli-recipe/,chicken,0,
Green Chile Chicken Enchiladas,https://www.budgetbytes.com/green-chile-chicken-enchiladas/,chicken,0,
Seared Chicken with Pesto Zucchini Orzo,https://www.goodhousekeeping.com/food-recipes/a28611486/seared-chicken-with-pesto-zucchini-orzo-recipe/,chicken,0,
Pancetta Chicken,https://www.goodhousekeeping.com/food-recipes/a38872/pancetta-chicken-recipe/,chicken,0,
One Pot Creamy Cajun Chicken Pasta,https://www.budgetbytes.com/one-pot-creamy-cajun-chicken-pasta/,chicken,0,
Spicy Orecchiette with Chicken Sausage and Kale,https://www.budgetbytes.com/spicy-orecchiette-with-chicken-sausage-and-kale/,chicken,0,
Sheet Pan Greek Chicken and Vegetables,https://www.budgetbytes.com/sheet-pan-greek-chicken-and-vegetables/,chicken,0,
Chicken Pad Thai,https://fitfoodiefinds.com/chicken-pad-thai/,chicken,0,
Garlic Basil Chicken with Tomato Butter Sauce,https://pinchofyum.com/garlic-basil-chicken-with-tomato-butter-sauce,chicken,0,
Easy Chicken Lo Mein Recipe,https://easychickenrecipes.com/easy-chicken-lo-mein-recipe/,chicken,0,
Best Chicken Fajitas Recipe,https://easychickenrecipes.com/best-chicken-fajitas-recipe/,chicken,0,
Sheet Pan Chicken Caprese,https://easychickenrecipes.com/sheet-pan-chicken-caprese-easy-caprese-chicken/,chicken,0,
Thai Red Curry Chicken,https://easychickenrecipes.com/thai-red-curry-chicken/,chicken,0,
Marinated Baked Lemon Pepper Chicken Recipe,https://easychickenrecipes.com/marinated-baked-lemon-pepper-chicken-recipe/,chicken,0,
Baked Spicy Chicken Sandwiches,https://www.budgetbytes.com/baked-spicy-chicken-sandwiches/,chicken,0,
Santa Fe Chicken Skillet,https://www.bettycrocker.com/recipes/santa-fe-chicken-skillet/3a0a60dd-1881-4799-a910-dc4b57d6920d,chicken,0,
Chicken Tikka Masala,https://www.bonappetit.com/recipe/chicken-tikka-masala,chicken,0,
Spicy Thai Chicken and Brown Rice Bowls,https://www.thekitchn.com/recipe-spicy-thai-chicken-and-brown-rice-bowls-259055,chicken,0,
One-Pan Coconut Milk-Braised Chicken,https://www.thekitchn.com/coconut-milk-braised-chicken-22977551,chicken,0,
Parmesan Chicken and Kale Sauté,https://www.thekitchn.com/recipe-parmesan-chicken-and-kale-saute-243626,chicken,0,
One Pan Ginger Chicken Meatballs with Peanut Sauce,https://www.ambitiouskitchen.com/one-pan-ginger-chicken-meatballs-with-peanut-sauce/,chicken,0,
Chicken Burrito Bowls,https://cleananddelicious.com/chicken-burrito-bowls/,chicken,0,
Green Goddess Chicken,https://www.theendlessmeal.com/green-goddess-chicken/,chicken,0,
Instant Pot Thai Chicken Noodles,https://www.365daysofcrockpot.com/instant-pot-thai-chicken-noodles/,chicken,0,
Instant Pot Sesame Chicken,https://littlesunnykitchen.com/instant-pot-sesame-chicken/,chicken,0,
Primavera Stuffed Chicken,https://www.delish.com/cooking/recipe-ideas/g3733/healthy-dinner-recipes/?slide=19,chicken,0,
Lemon Rosemary Chicken Sheet Pan Dinner with Crispy Potatoes,https://withsaltandwit.com/lemon-rosemary-chicken-sheet-pan-dinner-crispy-potatoes/,chicken,0,
Honey Garlic Chicken Stir Fry,https://www.dinneratthezoo.com/honey-garlic-chicken-stir-fry/,chicken,0,
Sheet Pan Chicken Burrito Bowls,https://allthehealthythings.com/2019-4-30-sheet-pan-chicken-burrito-bowls/,chicken,0,
Coconut Curry Chicken,https://countsofthenetherworld.com/coconut-curry-chicken/,chicken,0,
Sheet Pan Zucchini Chicken Meatballs with Coconut Curry Sauce,https://www.ambitiouskitchen.com/sheet-pan-zucchini-chicken-meatballs-with-coconut-curry-sauce/,chicken,0,
Harissa Chicken (or Tofu) with Roasted Sweet Potatoes,https://www.feastingathome.com/sheet-pan-harissa-chicken/,chicken,0,
Lighter Mediterranean Pasta Bake,https://www.bettycrocker.com/recipes/lighter-mediterranean-pasta-bake/495217e2-bc1e-4e15-b6b4-fe194610f1ce,chicken,0,
Chicken & Swiss Chard Pasta Bake,https://www.thekitchn.com/recipe-chicken-and-swiss-chard-pasta-bake-164753,chicken,0,
Chicken Pasta Bake with Spinach & Parmesan,https://www.thekitchn.com/recipe-chicken-pasta-bake-with-spinach-amp-parmesan-recipes-from-the-kitchn-211174,chicken,0,
Lemon Garlic Butter Chicken and Green Beans Skillet,https://www.eatwell101.com/lemon-garlic-butter-thighs-and-green-beans-skillet,chicken,0,
Thai Chicken Curry,https://www.gimmesomeoven.com/thai-chicken-curry/,chicken,0,
Coconut Lime Chicken and Broccoli,https://www.gimmesomeoven.com/coconut-lime-chicken-and-broccoli/,chicken,0,
One Pan Creamy Garlic Chicken Breasts,https://www.thechunkychef.com/creamy-garlic-chicken-breasts/,chicken,0,
Instant Pot Sesame Chicken,https://www.thechunkychef.com/instant-pot-sesame-chicken/,chicken,0,
Cheesy Baked Chicken Tacos,https://www.thechunkychef.com/cheesy-chicken-tacos/,chicken,0,
Slow Cooker Chicken Tikka Masala,https://www.thechunkychef.com/slow-cooker-chicken-tikka-masala/,chicken,0,
One Skillet Sun-Dried Tomato Chicken And Orzo,https://fettysfoodblog.com/one-skillet-sun-dried-tomato-chicken-and-orzo/,chicken,0,
Spicy Chicken and Sweet Potato Meal Prep Magic,https://pinchofyum.com/spicy-chicken-sweet-potato-meal-prep-magic,chicken,0,
Chicken Piccata,https://themodernproper.com/chicken-piccata,chicken,0,
Easy Lemon Pepper Chicken,https://www.budgetbytes.com/easy-lemon-pepper-chicken/,chicken,0,
Chicken Shawarma Sheet Pan Dinner,https://themodernproper.com/chicken-shawarma-sheet-pan-dinner,chicken,0,
Sheet Pan Chicken Tinga Bowls,https://pinchofyum.com/30-minute-meal-prep-sheet-pan-chicken-tinga-bowls,chicken,0,
Sheet Pan Parmesan Crusted Chicken and Broccoli,https://reciperunner.com/sheet-pan-parmesan-crusted-chicken-broccoli/,chicken,0,
Tuscan Chicken in Parmesan Cream Sauce,https://www.thecookierookie.com/tuscan-chicken-in-parmesan-cream-sauce/,chicken,0,
Chicken & Veggie Stir-Fry,https://tasty.co/recipe/chicken-veggie-stir-fry,chicken,0,
Teriyaki Chicken Foil Packets,https://lifemadesweeter.com/teriyaki-chicken-foil-packets/,chicken,0,
Lemon Chicken Piccata with Grilled Bread,https://pinchofyum.com/lemon-chicken-piccata-with-grilled-bread,chicken,0,
Blackened Chicken Salad with Avocado,https://www.eatwell101.com/blackened-chicken-avocado-salad-recipe,chicken,0,
Grilled Chicken Kabobs,https://www.dinneratthezoo.com/grilled-chicken-kabobs/#recipe,chicken,0,
Healthy Sriracha Shredded Chicken Tacos,https://www.jaroflemons.com/healthy-sriracha-shredded-chicken-tacos/,chicken,0,
Baked Chicken Tacos Recipe,https://www.thecookierookie.com/baked-spicy-chicken-tacos/,chicken,0,
Lemon Garlic Butter Chicken Baked with Asparagus,https://www.eatwell101.com/baked-chicken-bites-recipe,chicken,0,
Chicken Stir Fry Noodles,https://www.eatwell101.com/chicken-pasta-skillet-recipe,chicken,0,
Instant Pot Creamy Garlic Parmesan Chicken Pasta,https://www.eatwell101.com/instant-pot-chicken-pasta-recipe,chicken,0,
Coconut Chicken Curry,https://www.yummly.com/recipe/Coconut-Chicken-Curry-9087953?fbclid=IwAR1l3wYu68aZfre-x-ox1f3QifjXgkizX-NVl6_k4n1IHZuR6TnD8g0i5mI,chicken,0,
Chicken Curry Pot Pie,https://www.bonappetit.com/recipe/chicken-curry-pot-pie,chicken,0,
Thai Chicken Coconut Curry,https://www.averiecooks.com/thai-chicken-coconut-curry/,chicken,0,
One Pot Spanish Chicken and Rice,https://www.aheadofthyme.com/2017/02/one-pot-spanish-chicken-and-rice/,chicken,0,
Creamy Tomato Chicken Skillet Dinner,https://themodernproper.com/creamy-tomato-chicken-skillet-dinner,chicken,0,
Lemon Chicken Piccata,https://damndelicious.net/2016/02/26/easy-lemon-chicken-piccata/,chicken,0,
One Pan Creamy Thai Peanut Chicken Couscous,https://www.ambitiouskitchen.com/thai-peanut-chicken-couscous/,chicken,0,
Slow Cooker Honey Garlic Chicken,https://www.wellplated.com/slow-cooker-honey-garlic-chicken/#wprm-recipe-container-37253,chicken,0,
Instant Pot Chicken Tikka Masala,https://www.jocooks.com/recipes/instant-pot-chicken-tikka-masala/,chicken,0,
Sheet Pan Chicken with Rainbow Vegetables,https://www.wellplated.com/sheet-pan-chicken-rainbow-vegetables/,chicken,0,
Creamy Tuscan Chicken Pasta,https://www.aspicyperspective.com/creamy-tuscan-chicken-pasta-one-pot/,chicken,0,
One Pan Sazon Skillet Chicken,https://www.ambitiouskitchen.com/sazon-skillet-chicken/,chicken,0,
Basil-Tomato Chicken Skillet,https://www.bhg.com/recipe/basil-tomato-chicken-skillet/,chicken,0,
Beer Can Chicken,https://www.simplyrecipes.com/recipes/beer_can_chicken/,chicken,0,
Lemon Chicken Milanese,https://www.food.com/recipe/lemon-chicken-milanese-360913,chicken,0,
Slow Cooker Pot Roast,https://www.cookingclassy.com/slow-cooker-pot-roast/,beef,0,
Balsamic Marinated Flank Steak,https://www.foodandwine.com/recipes/balsamic-marinated-flank-steak,beef,0,
Sunday Chili,https://pinchofyum.com/sunday-chili,beef,0,
Keema Aloo (Ground Beef and Potatoes),https://www.allrecipes.com/recipe/231026/keema-aloo-ground-beef-and-potatoes/,beef,0,
One Pot Cheesy Mushroom Spinach Beef Pasta,https://www.ambitiouskitchen.com/spinach-beef-pasta/,beef,0,
Guinness Beef Stew,https://www.gimmesomeoven.com/guinness-beef-stew/,beef,0,
Slow Cooker Beef Stew,https://damndelicious.net/2016/10/07/slow-cooker-beef-stew/,beef,0,
Honey Garlic Crockpot Meatballs,https://www.familyfreshmeals.com/2014/07/honey-garlic-crockpot-meatballs.html,beef,0,
Ultimate Slow Cooker Pot Roast,https://dinnerthendessert.com/ultimate-slow-cooker-pot-roast/,beef,0,
Spaghetti Squash Casserole,https://www.spendwithpennies.com/spaghetti-squash-casserole/,beef,0,
Southwestern Casserole,https://www.tasteofhome.com/recipes/southwestern-casserole/,beef,0,
Pan Seared Steak with Garlic Butter,https://www.cookingclassy.com/pan-seared-steak-with-garlic-butter/,beef,0,
Instant Pot Keto Tuscan Soup,https://www.eatwell101.com/instant-pot-keto-tuscan-soup-recipe#recipecardo,beef,0,
Italian Beef and Shells,https://www.tasteofhome.com/recipes/italian-beef-and-shells/,beef,0,
Honey Garlic Crockpot Meatballs,https://www.thechunkychef.com/honey-garlic-crockpot-meatballs/,beef,0,
Instant Pot Keto Tuscan Soup,https://www.eatwell101.com/instant-pot-keto-tuscan-soup-recipe,beef,0,
One Pot Chili Mac,https://www.thecookierookie.com/one-pot-chili-mac/,beef,0,
Southwest Ground Beef and Sweet Potato Skillet,https://reciperunner.com/southwest-ground-beef-and-sweet-potato-skillet/,beef,0,
Lentil and Sausage Stew,https://www.budgetbytes.com/lentil-sausage-stew/,beef,0,
Red Coconut Curry Meatballs with Cauliflower Rice,https://fitfoodiefinds.com/red-coconut-curry-meatballs-with-cauliflower-rice/,turkey,0,
Ground Turkey Pasta in Romesco Sauce,https://sweetpeasandsaffron.com/ground-turkey-pasta-in-romesco-sauce/,turkey,0,
Ground Turkey Butternut Squash Skillet,https://www.yummly.com/recipe/Ground-Turkey-Butternut-Squash-Skillet-9334382?prm-v1,turkey,0,
Korean Inspired Ground Turkey Meal Prep,https://sweetpeasandsaffron.com/korean-turkey-meal-prep/,turkey,0,
Turkey Enchilada Skillet,https://beautyandthebenchpress.com/turkey-enchilada-skillet/,turkey,0,
Turkey Fried Rice,https://www.organizeyourselfskinny.com/turkey-fried-rice/,turkey,0,
Low Carb Ground Turkey Skillet with Pesto,https://ifoodreal.com/turkey-zucchini/,turkey,0,
Turkey Sausage, Pepper and Onion Skillet,https://www.bettycrocker.com/recipes/turkey-sausage-pepper-and-onion-skillet/145a7609-3c9c-41c2-9855-fb5e5de968fb?fbclid=IwAR1ljeSGdDi02kgqdwaqeuNLg8ZL3PynkNmWBAZ01ghe-xNKUkV3dGAzHGk,turkey,0,
Turkey Sausage-Stuffed Acorn Squash,https://www.tasteofhome.com/recipes/turkey-sausage-stuffed-acorn-squash/,turkey,0,
Ground Turkey and Zucchini with Indian Spices,https://thelemonbowl.com/ground-turkey-and-zucchini-with-indian-spices/,turkey,0,
Turkey Sausage, Pepper and Onion Skillet,https://www.bettycrocker.com/recipes/turkey-sausage-pepper-and-onion-skillet/145a7609-3c9c-41c2-9855-fb5e5de968fb,turkey,0,
Garlic Butter Turkey Meatballs with Zucchini Noodles,https://www.eatwell101.com/garlic-butter-meatballs-with-lemon-zucchini-noodles,turkey,0,
Healthy Ground Turkey Teriyaki Rice Bowl,https://www.yellowblissroad.com/teriyaki-turkey-rice-bowl/,turkey,0,
Healthy Slow Cooker Turkey and White Bean Chili,https://www.halfbakedharvest.com/healthy-slow-cooker-turkey-and-white-bean-chili/#bo-recipe,turkey,0,
One-Dish Ground Turkey Sweet Potato Skillet,https://www.tasteofhome.com/recipes/one-dish-ground-turkey-sweet-potato-skillet/,turkey,0,
Turkey and Broccoli Pastry Braid,https://www.tasteofhome.com/recipes/turkey-and-broccoli-pastry-braid/,turkey,0,
Turkey Taco Meal Prep Bowls,https://sweetpeasandsaffron.com/turkey-taco-lunch-bowls-meal-prep/#recipe,turkey,0,
Creamy Pesto Chicken Meatballs,https://www.eatwell101.com/creamy-chicken-meatballs-recipe,turkey,0,
The Best Healthy Turkey Chili,https://www.ambitiouskitchen.com/seriously-the-best-healthy-turkey-chili/,turkey,0,
Ground Turkey Butternut Squash Skillet,https://gardeninthekitchen.com/ground-turkey-butternut-squash-skillet/,turkey,0,
Sausage Acorn Squash Sheet Pan Dinner,https://thebeachhousekitchen.com/sausage-acorn-squash-sheet-pan-dinner/,pork,0,
One Pan Sausage and Vegetable Skillet,https://chefsavvy.com/one-pan-sausage-and-vegetable-skillet/,pork,0,
Sausage, Kale, and White Bean Soup,https://pinchofyum.com/sausage-kale-and-white-bean-soup,pork,0,
Spinach Bacon Pumpkin Mac and Cheese,https://www.ambitiouskitchen.com/pumpkin-mac-and-cheese/,pork,0,
Sheet Pan Sausage and Vegetables,https://www.averiecooks.com/sheet-pan-sausage-vegetables/,pork,0,
Sheet Pan Sausage and Peppers,https://thewholecook.com/sheet-pan-sausage-peppers/,pork,0,
Easy Crockpot Carnitas,https://pinchofyum.com/easy-crockpot-carnitas,pork,0,
Slow Cooker Jambalaya,https://spicysouthernkitchen.com/slow-cooker-jambalaya/,pork,0,
Slow Cooker Ribs,https://tasty.co/recipe/slow-cooker-ribs,pork,0,
Baked Farro and Butternut Squash,https://www.foodnetwork.com/recipes/ina-garten/baked-farro-and-butternut-squash-3363756,pork,0,
Bacon and Cheese Quiche,https://www.pillsbury.com/recipes/bacon-and-cheese-quiche/19288cf4-0cdc-46cc-bc86-4c9bfa799695,pork,0,
Sausage, Bean and Sweet Potato Soup,https://thelemonbowl.com/sausage-bean-and-sweet-potato-soup/,pork,0,
Roasted Sweet Potatoes, Sausage, and Broccoli Sheet Pan Meal,https://kalynskitchen.com/roasted-sweet-potatoes-sausage-and-broccoli-sheet-pan-meal/,pork,0,
Easy Crockpot Carnitas,https://pinchofyum.com/easy-crockpot-carnitas#tasty-recipes-38191-jump-target,pork,0,
Ratatouille Sheet Pan Dinner With Sausage,https://themodernproper.com/ratatouille-sheet-pan-dinner-with-sausage,pork,0,
5 Ingredient Spicy Pork,https://pinchofyum.com/5-ingredient-spicy-pork,pork,0,
Sausage Stuffed Acorn Squash,https://www.wellplated.com/sausage-stuffed-acorn-squash/,pork,0,
Chicken and Sausage Pasta,https://www.lecremedelacrumb.com/chicken-and-sausage-pasta/,pork,0,
Cajun Sausage and Rice Skillet,https://www.budgetbytes.com/cajun-sausage-and-rice-skillet/,pork,0,
One Pot Sausage and Sun Dried Tomato Pasta,https://www.budgetbytes.com/one-pot-sausage-sun-dried-tomato-pasta/,pork,0,
Crispy Sheet Pan Gnocchi with Mushrooms, Sausage, and Butternut Squash,https://www.thekitchn.com/sheet-pan-gnocchi-mushrooms-sausage-squash-22955997,pork,0,
One Pan Lemon Garlic Salmon and Asparagus,https://gimmedelicious.com/one-pan-lemon-garlic-salmon-and-asparagus/,fish,0,
Spicy Maple Glazed Salmon for Two,https://www.ambitiouskitchen.com/spicy-maple-glazed-salmon/,fish,0,
One Pan Baked Salmon And Vegetables,https://www.watchwhatueat.com/one-pan-baked-salmon-and-vegetables/,fish,0,
Garlic Shrimp And Zucchini Noodles,https://www.watchwhatueat.com/garlic-shrimp-and-zucchini-noodles/,fish,0,
Lemon Rosemary Marinated Grilled Halibut,https://www.foodnetwork.com/recipes/lemon-rosemary-marinated-grilled-halibut-recipe-1941493,fish,0,
Walnut-Rosemary Crusted Salmon,https://www.eatingwell.com/recipe/267223/walnut-rosemary-crusted-salmon/,fish,0,
Charred Shrimp, Pesto & Quinoa Bowls,https://www.eatingwell.com/recipe/274095/charred-shrimp-pesto-buddha-bowls/,fish,0,
Damn Good Salmon Taco Bowls For Two,https://www.ambitiouskitchen.com/salmon-taco-bowls/,fish,0,
Baked Salmon with Amazing Lemon Sauce,https://pinchofyum.com/baked-salmon-with-amazing-lemon-sauce,fish,0,
Salmon Greek Salad with Lemon Basil Dressing,https://www.jessicagavin.com/salmon-greek-salad-lemon-basil-dressing/,fish,0,
Spicy Chipotle Honey Salmon Bowls,https://www.halfbakedharvest.com/chipotle-honey-salmon-bowls/,fish,0,
Green Curry Salmon,https://www.gimmesomeoven.com/green-curry-salmon/,fish,0,
Garlic Brown Sugar Glazed Salmon,https://www.thekitchn.com/garlic-brown-sugar-salmon-recipe-critic-22920762,fish,0,
Citrus Salmon en Papillote,https://www.tasteofhome.com/recipes/citrus-salmon-en-papillote/,fish,0,
Balsamic Salmon Marinade,https://sweetpeasandsaffron.com/balsamic-salmon-marinade/,fish,0,
Shrimp Scampi with Linguine,https://tastesbetterfromscratch.com/shrimp-scampi-linguine/?fbclid=IwAR2G4QWuEPMo2X2XIqJ_FbFX6pqZUs72PZ9EZwhdshB5eQXXlaKxV4NLl94,fish,0,
Herb Crusted Baked Salmon,https://www.spendwithpennies.com/herb-baked-salmon/,fish,0,
15 Minute Lo Mein,https://pinchofyum.com/lo-mein,veggie,0,
Roasted Veggie, Chickpea & Pesto Quinoa Salad,https://www.ambitiouskitchen.com/roasted-veggie-chickpea-pesto-quinoa-salad/,veggie,0,
Rainbow Vegetarian Pad Thai with Peanuts and Basil,https://pinchofyum.com/rainbow-vegetarian-pad-thai-with-peanuts-and-basil,veggie,0,
Curry Noodle Soup,https://tasty.co/recipe/curry-noodle-soup,veggie,0,
Chickpea Buddha Bowls & Greek Chicken Wraps,https://sweetpeasandsaffron.com/2-in-1-meal-prep-roasted-chickpea-buddha-bowls-greek-chicken-wraps/,veggie,0,
